	sonic_temperature K	PSPWatt_UP_Avg	CO2Flux(? mol+1s-1m-2)
2022/8/29 11:23	304.116	396.8233333	-5.45309
2022/8/29 11:53	303.589	316.66	-3.16908
2022/8/29 12:23	302.695	152.26	-2.10125
2022/8/29 12:53	302.715	135.6233333	-0.281611
2022/8/29 13:23	303.085	221.9866667	-4.5287
2022/8/29 13:53	304.22	540.8233333	-9.6944
2022/8/29 14:23	305.948	854.1566667	-11.3877
2022/8/29 14:53	304.945	541.78	-10.4284
2022/8/29 15:23	304.465	482.54	-5.00112
2022/8/29 15:53	302.893	166.4733333	0.00481
2022/8/29 16:23	302.184	161.5633333	-6.18413
2022/8/29 16:53	302.309	159.7463333	-1.77466
2022/8/29 17:23	301.076	27.34453333	6.14655
2022/8/29 17:53	300.506	3.3124	2.13212
2022/8/29 18:23	300.314	0.263066667	2.04641
2022/8/29 18:53	299.905	0	-5.57401
2022/8/29 19:23	299.951	0	6.87281
2022/8/29 19:53	299.882	0	-0.316745
2022/8/29 20:23	299.837	0	2.27737
2022/8/29 20:53	299.654	0	3.89716
2022/8/29 21:23	299.645	0	4.72703
2022/8/29 21:53	299.402	0	-1.53292
2022/8/29 22:23	299.141	0	1.01169
2022/8/29 22:53	298.736	0	-4.15081
2022/8/29 23:23	298.647	0	2.21062
2022/8/29 23:53	298.721	0	-2.69492
2022/8/30 00:23	298.739	0	-0.501132
2022/8/30 00:53	298.811	0.025166667	-35.501
2022/8/30 01:23	299.115	0.0692	5.74963
2022/8/30 01:53	298.828	0	-3.14251
2022/8/30 02:23	298.706	0	-0.776044
2022/8/30 02:53	298.506	0	-11.475
2022/8/30 03:23	298.205	0	-9.87138
2022/8/30 03:53	297.935	0	13.0659
2022/8/30 04:23	297.824	0	1.87297
2022/8/30 04:53	297.492	0	-2.68048
2022/8/30 05:23	297.488	0	-42.3586
2022/8/30 05:53	297.388	5.374833333	-20.3088
2022/8/30 06:23	297.952	27.00466667	-0.919421
2022/8/30 06:53	299.641	125.026	-5.90059
2022/8/30 07:23	301.01	313.8766667	-0.827261
2022/8/30 07:53	301.539	305.5366667	1.90285
2022/8/30 08:23	303	455.06	-6.06145
2022/8/30 08:53	303.823	578.67	-9.22374
2022/8/30 09:23	303.917	620.1866667	-11.1846
2022/8/30 09:53	304.616	447.26	-12.8685
2022/8/30 10:23	304.831	605.9733333	-16.3643
2022/8/30 10:53	305.15	706.4633333	-16.3759
2022/8/30 11:23	304.334	437.1033333	-6.24768
2022/8/30 11:53	303.921	302.4433333	-5.93679
2022/8/30 12:23	303.962	246.48	-3.80193
2022/8/30 12:53	304.414	299	-5.45178
2022/8/30 13:23	303.806	215.9266667	-2.9984
2022/8/30 13:53	303.93	187.5066667	-1.25545
2022/8/30 14:23	303.112	111.44	1.22384
2022/8/30 14:53	304.165	298.2366667	-6.35378
2022/8/30 15:23	302.573	71.994	1.95658
2022/8/30 15:53	301.562	51.31233333	2.77501
2022/8/30 16:23	300.939	45.59466667	2.42175
2022/8/30 16:53	301.403	60.21433333	-0.00697
2022/8/30 17:23	301.612	54.07966667	0.272602
2022/8/30 17:53	301.069	22.62766667	2.12592
2022/8/30 18:23	300.731	2.0142	3.23124
2022/8/30 18:53	300.421	0	-3.25724
2022/8/30 19:23	300.229	0	3.58792
2022/8/30 19:53	299.893	0	9.45725
2022/8/30 20:23	300.025	0	2.29442
2022/8/30 20:53	299.461	0	3.48092
2022/8/30 21:23	298.494	0	-0.126183
2022/8/30 21:53	298.29	0	-11.9573
2022/8/30 22:23	298.117	0	11.7888
2022/8/30 22:53	298.047	0	-45.5361
2022/8/30 23:23	298.06	0	16.7145
2022/8/30 23:53	298.167	0	-12.1039
2022/8/31 00:23	298.084	0	1.06874
2022/8/31 00:53	297.99	0	7.13026
2022/8/31 01:23	297.931	0	0.109584
2022/8/31 01:53	297.999	0	1.81447
2022/8/31 02:23	297.972	0	2.28461
2022/8/31 02:53	297.883	0	-0.0438
2022/8/31 03:23	297.819	0.1065	-3.29713
2022/8/31 03:53	298.803	0.8865	-2.97233
2022/8/31 04:23	298.925	0.285	-0.972275
2022/8/31 04:53	298.6	0	-9.87394
2022/8/31 05:23	298.115	0	-0.459667
2022/8/31 05:53	297.834	4.9996	25.6088
2022/8/31 06:23	298.019	23.816	2.04034
2022/8/31 06:53	298.778	73.41233333	-10.0981
2022/8/31 07:23	300.838	182.35	4.99914
2022/8/31 07:53	302.309	467.9733333	-0.916631
2022/8/31 08:23	303.217	519.5433333	-1.72134
2022/8/31 08:53	302.886	455.99	-4.49969
2022/8/31 09:23	302.94	302.77	-4.47504
2022/8/31 09:53	304.55	426.4666667	-15.3756
2022/8/31 10:23	303.666	295.07	-6.62944
2022/8/31 10:53	303.234	258.86	0.695311
2022/8/31 11:23	303.921	310.3033333	-4.8441
2022/8/31 11:53	304.091	379.8166667	-11.1623
2022/8/31 12:23	303.968	319.3766667	-5.25788
2022/8/31 12:53	304.096	336.59	-5.9336
2022/8/31 13:23	304.551	333.14	-10.9593
2022/8/31 13:53	304.985	358.9766667	-8.09913
2022/8/31 14:23	304.993	341.9766667	-2.97372
2022/8/31 14:53	304.473	271.9033333	-2.49428
2022/8/31 15:23	305.23	470.0633333	-5.72918
2022/8/31 15:53	304.905	242.9266667	-2.28667
2022/8/31 16:23	303.407	53.212	0.780742
2022/8/31 16:53	302.145	29.945	-0.925242
2022/8/31 17:23	301.912	21.41406667	2.29569
2022/8/31 17:53	303.205	1.558133333	-67.0112
2022/8/31 18:53	298.717	0	224.121
2022/8/31 19:23	297.878	0	20.6039
2022/8/31 19:53	296.947	0	8.24281
2022/8/31 20:23	298.216	0.001	2.87603
2022/8/31 20:53	298.289	0.000733333	5.41146
2022/8/31 21:23	298.157	0	7.75075
2022/8/31 21:53	298.944	0	9.78563
2022/8/31 22:23	298.808	0	3.73031
2022/8/31 22:53	298.609	0	0.00365
2022/8/31 23:23	298.577	0	4.69147
2022/8/31 23:53	298.893	0	1.86897
2022/9/1 00:23	301.444	0	228.808
2022/9/1 00:53	301.463	0	-1.10616
2022/9/1 01:23	301.663	0	6.28528
2022/9/1 01:53	304.417	0	-162.68
2022/9/1 02:23	302.464	0	2.53583
2022/9/1 02:53	301.975	0	-20.0843
2022/9/1 03:23	301.334	0	0.458783
2022/9/1 03:53	302.43	0	-11.6433
2022/9/1 04:23	304.635	0.2259	-2.00118
2022/9/1 04:53	304.113	0.1302	28.4796
2022/9/1 05:23	302.182	0.0435	18.0172
2022/9/1 05:53	304.901	2.215533333	6.98923
2022/9/1 06:23	304.414	14.5161	8.10105
2022/9/1 06:53	305.141	56.25833333	10.4857
2022/9/1 07:23	304.296	163.3533333	-5.74379
2022/9/1 07:53	304.842	196.09	3.24185
2022/9/1 08:23	303.515	273.4966667	-7.82609
2022/9/1 08:53	303.575	405.3	-7.7048
2022/9/1 09:23	302.929	285.5733333	-0.43595
2022/9/1 09:53	302.602	243.35	-5.86754
2022/9/1 10:23	303.085	307.25	-2.85124
2022/9/1 10:53	304.016	418.88	-3.95097
2022/9/1 11:23	304.233	551.67	-2.05345
2022/9/1 11:53	304.539	600.49	-7.06129
2022/9/1 12:23	303.692	329.7433333	-2.91559
2022/9/1 12:53	303.984	310.2866667	-4.3947
2022/9/1 13:23	303.373	159.1933333	1.00146
2022/9/1 13:53	304.187	295.14	-3.4691
2022/9/1 14:23	304.326	330.66	-2.77232
2022/9/1 14:53	303.795	272.8433333	-8.40373
2022/9/1 15:23	302.915	132.5866667	-0.690909
2022/9/1 15:53	302.919	151.06	-1.85341
2022/9/1 16:23	302.454	80.911	2.57682
2022/9/1 16:53	301.717	28.32166667	0.0153
2022/9/1 17:23	301.525	27.767	2.82598
2022/9/1 17:53	301.018	17.25466667	3.11919
2022/9/1 18:23	300.457	2.061566667	0.480541
2022/9/1 18:53	300.11	0	1.70489
2022/9/1 19:23	299.154	0	-6.73716
2022/9/1 19:53	298.467	0	1.82149
2022/9/1 20:23	298.568	0	2.0478
2022/9/1 20:53	298.505	0	1.78714
2022/9/1 21:23	298.347	0	5.71889
2022/9/1 21:53	298.327	0	0.790074
2022/9/1 22:23	298.177	0	-1.46031
2022/9/1 22:53	297.885	0	6.39404
2022/9/1 23:23	297.804	0	3.30153
2022/9/1 23:53	297.776	0	0.00805
2022/9/2 00:23	297.416	0	3.82792
2022/9/2 00:53	297.263	0	4.46568
2022/9/2 01:23	297.141	0	1.36911
2022/9/2 01:53	297.076	0	3.77208
2022/9/2 02:23	297.081	0	7.82349
2022/9/2 02:53	296.873	0	0.775105
2022/9/2 03:23	296.809	0	3.16383
2022/9/2 03:53	296.759	0	4.23259
2022/9/2 04:23	296.721	0	9.58753
2022/9/2 04:53	296.722	0	1.73571
2022/9/2 05:23	296.891	0	8.079
2022/9/2 05:53	296.93	1.323166667	2.65624
2022/9/2 06:23	297.085	6.8659	2.23684
2022/9/2 06:53	297.167	14.48566667	1.4147
2022/9/2 07:23	297.525	21.90333333	2.26576
2022/9/2 07:53	298.293	71.04066667	0.217139
2022/9/2 08:23	298.579	74.481	-2.21994
2022/9/2 08:53	298.946	137.9543333	-2.40628
2022/9/2 09:23	300.506	332.66	-6.2633
2022/9/2 09:53	301.392	427.2733333	-7.83626
2022/9/2 10:23	301.829	705.2666667	-11.2425
2022/9/2 10:53	301.18	535.2066667	-5.10739
2022/9/2 11:23	303.153	967.8933333	-14.443
2022/9/2 11:53	302.503	596.1966667	-8.13743
2022/9/2 12:23	303.558	824.8966667	-14.0747
2022/9/2 12:53	303.976	976.3233333	-10.0457
2022/9/2 13:23	303.081	654.6466667	-13.0565
2022/9/2 13:53	303.51	548.5433333	-6.68468
2022/9/2 14:23	302.891	498.9	-6.68606
2022/9/2 14:53	301.837	214.6433333	-3.00009
2022/9/2 15:23	302.11	280.9633333	-8.47647
2022/9/2 15:53	301.325	166.66	-1.60739
2022/9/2 16:23	301.666	159.9863333	-2.06517
2022/9/2 16:53	300.702	45.21966667	2.03065
2022/9/2 17:23	300.573	28.0317	-4.3813
2022/9/2 17:53	301.19	9.662166667	6.92718
2022/9/2 18:23	300.943	2.785333333	-2.57418
2022/9/2 18:53	300.762	0	-14.6095
2022/9/2 19:23	300.613	0	14.4515
2022/9/2 19:53	300.525	0	-2.36999
2022/9/2 20:23	300.45	0	-0.552332
2022/9/2 20:53	300.22	0	-0.191669
2022/9/2 21:23	300.193	0	1.51326
2022/9/2 21:53	300.627	0	6.05209
2022/9/2 22:23	300.594	0	0.816951
2022/9/2 22:53	300.871	0	8.71573
2022/9/2 23:23	300.584	0	3.68037
2022/9/2 23:53	300.607	0	3.84657
2022/9/3 00:23	301.096	0	8.02254
2022/9/3 00:53	299.272	0	-1.46481
2022/9/3 01:23	299.402	0.000233333	-1.84121
2022/9/3 01:53	299.578	0.0007	5.25661
2022/9/3 02:23	301.658	0.0012	7.87915
2022/9/3 02:53	301.828	0	1.85842
2022/9/3 03:23	302.611	0.000466667	-3.29583
2022/9/3 03:53	301.262	0.000233333	74.6871
2022/9/3 04:23	300.881	0	41.59
