,CO2(?mol_s-1_m-2 ),CH4(?mol_s-1_m-2 )
2022/8/29 11:30,-8.179635,1.51
2022/8/29 13:30,-6.79305,1.134
2022/8/29 13:59,-14.5416,0.756
2022/8/29 14:30,-17.08155,2.5159
2022/8/29 14:59,-15.6426,2.99094
2022/8/29 15:30,-7.50168,1.642
2022/8/29 15:59,,0.822
2022/8/29 18:30,,0.1232
2022/8/29 21:59,-2.29938,0.0892
2022/8/29 22:59,-6.226215,0.33
2022/8/29 23:59,-4.04238,0.0364
2022/8/30 1:30,,0.248
2022/8/30 2:30,-1.164066,0.514
2022/8/30 8:30,-9.092175,2.9535
2022/8/30 8:59,-13.83561,3.01416
2022/8/30 9:30,-16.7769,4.28434
2022/8/30 9:59,-19.30275,2.89764
2022/8/30 10:30,-24.54645,3.26256
2022/8/30 10:59,-24.56385,4.16056
2022/8/30 11:30,-9.37152,1.69
2022/8/30 11:59,-8.905185,1.648
2022/8/30 12:30,-5.702895,0.602
2022/8/30 12:59,-8.17767,1.286
2022/8/30 13:30,-4.4976,0.776
2022/8/30 13:59,-1.883175,0.404
2022/8/30 14:30,,0.788
2022/8/30 16:30,,0.1104
2022/8/30 17:30,,0.946
2022/8/30 18:59,-4.88586,0.338
2022/8/30 21:59,-17.93595,0.0882
2022/8/30 22:30,,1.198
2022/8/30 23:30,,0.126
2022/8/31 0:59,,0.89
2022/8/31 1:30,,0.1916
2022/8/31 1:59,,0.59
2022/8/31 2:30,,0.0392
2022/8/31 4:59,-14.81091,0.518
2022/8/31 5:30,-0.6895005,0.1534
2022/8/31 7:30,,1.302
2022/8/31 7:59,-1.3749465,5.2156
2022/8/31 8:30,-2.58201,0.654
2022/8/31 8:59,-6.749535,1.578
2022/8/31 9:30,-6.71256,0.272
2022/8/31 10:30,-9.94416,2.00142
2022/8/31 10:59,,0.908
2022/8/31 11:30,-7.26615,2.08618
2022/8/31 12:30,-7.88682,2.43984
2022/8/31 12:59,-8.9004,0.678
2022/8/31 13:30,-16.43895,0.88
2022/8/31 13:59,-12.148695,0.594
2022/8/31 14:30,-4.46058,1.824
2022/8/31 14:59,-3.74142,1.44
2022/8/31 15:30,-8.59377,1.132
2022/8/31 15:59,-3.430005,1.692
2022/8/31 16:30,,0.354
2022/8/31 16:59,-1.387863,1.162
2022/8/31 19:30,,0.682
2022/8/31 19:59,,0.218
2022/8/31 20:30,,0.0322
2022/8/31 20:59,,1.046
2022/8/31 23:30,,0.034
2022/8/31 23:59,,0.1602
2022/9/1 1:30,,0.1198
2022/9/1 2:30,,0.1054
2022/9/1 2:59,-30.12645,8.51536
2022/9/1 3:59,-17.46495,0.051
2022/9/1 4:30,-3.00177,0.734
2022/9/1 4:59,,5.9808
2022/9/1 5:59,,2.71056
2022/9/1 7:30,-8.615685,0.1942
2022/9/1 8:30,-11.739135,4.08192
2022/9/1 8:59,-11.5572,6.1622
2022/9/1 10:30,-4.27686,0.412
2022/9/1 10:59,-5.926455,5.84096
2022/9/1 11:30,-3.080175,1.05
2022/9/1 11:59,-10.591935,4.21868
2022/9/1 12:30,-4.373385,0.738
2022/9/1 12:59,-6.59205,1.222
2022/9/1 13:30,,0.662
2022/9/1 13:59,-5.20365,2.3182
2022/9/1 14:30,-4.15848,3.75988
2022/9/1 14:59,-12.605595,1.77
2022/9/1 15:30,-1.0363635,0.408
2022/9/1 15:59,-2.780115,0.816
2022/9/1 16:59,,0.642
2022/9/1 18:30,,0.348
2022/9/1 18:59,,0.434
2022/9/1 19:30,-10.10574,1.38
2022/9/1 19:59,,0.268
2022/9/1 20:59,,0.0502
2022/9/1 22:30,-2.190465,0.834
2022/9/1 22:59,,0.222
2022/9/2 0:30,,0.1208
2022/9/2 1:30,,1.234
2022/9/2 1:59,,0.0248
2022/9/2 2:59,,0.242
2022/9/2 3:30,,0.432
2022/9/2 7:59,,0.0282
2022/9/2 8:59,-3.60942,0.696
2022/9/2 9:30,-9.39495,0.478
2022/9/2 9:59,-11.75439,3.21562
2022/9/2 10:30,-16.86375,4.38622
2022/9/2 10:59,-7.661085,3.67896
2022/9/2 11:30,-21.6645,4.74728
2022/9/2 11:59,-12.206145,2.82668
2022/9/2 12:30,-21.11205,6.18194
2022/9/2 12:59,-15.06855,7.02772
2022/9/2 13:30,-19.58475,2.87644
2022/9/2 13:59,-10.02702,4.69014
2022/9/2 14:30,-10.02909,2.48274
2022/9/2 14:59,-4.500135,1.162
2022/9/2 15:30,-12.714705,1.086
2022/9/2 15:59,-2.411085,1.75
2022/9/2 16:30,-3.097755,1.34
2022/9/2 17:30,-6.57195,2.44414
2022/9/2 18:30,-3.86127,0.01058
2022/9/2 18:59,-21.91425,3.63892
2022/9/2 19:59,-3.554985,2.37534
2022/9/2 20:30,-0.828498,0.344
2022/9/2 21:30,,0.4
2022/9/2 22:30,,0.522
2022/9/2 22:59,,0.0464
2022/9/2 23:30,,0.1594
2022/9/3 0:30,,2.2791
2022/9/3 0:59,-2.197215,0.364
2022/9/3 1:30,-2.761815,3.53492
2022/9/3 2:30,,1.164
2022/9/3 2:59,,1.93
2022/9/3 3:30,-4.943745,0.85
2022/9/3 4:59,,2.39042
2022/9/3 5:30,,1.048
2022/9/3 8:30,-7.434345,1.452
2022/9/3 8:59,-3.056925,1.036
2022/9/3 9:30,-5.312085,0.1706
2022/9/3 9:59,-9.985155,2.98408
2022/9/3 10:59,-19.48755,6.06666
2022/9/3 12:30,-7.170015,1.394
2022/9/3 12:59,,1.178
2022/9/3 15:30,,1.864
2022/9/3 18:30,,0.1902
2022/9/3 19:30,,0.694
2022/9/3 19:59,,9.09896
2022/9/3 22:59,-8.75886,0.862
2022/9/3 23:59,,0.504
2022/9/4 0:59,-14.24394,17.98466
2022/9/4 2:59,,5.60078
2022/9/4 3:59,,13.02312
2022/9/4 4:30,,5.6632
2022/9/4 4:59,,11.7298
2022/9/4 5:59,,4.7038
2022/9/4 6:30,,4.2962
2022/9/4 8:59,,1.976
2022/9/4 9:59,,1.6
2022/9/4 11:59,-8.009025,2.29736
2022/9/4 12:30,-14.738925,3.94172
2022/9/4 12:59,-2.38038,3.54424
2022/9/4 13:30,-5.92878,1.166
2022/9/4 14:30,-0.7717575,0.264
2022/9/4 14:59,,1.36
2022/9/4 15:30,,0.476
2022/9/4 15:59,-4.8933,3.4244
2022/9/4 16:30,,0.01042
2022/9/4 16:59,,1.244
2022/9/4 17:30,,1.82
2022/9/4 18:30,,8.1148
2022/9/4 21:59,,0.202
2022/9/4 23:59,,0.262
2022/9/5 0:30,,0.35
2022/9/5 1:30,,1.828
2022/9/5 2:30,-13.087245,1.066
2022/9/5 2:59,,1.532
2022/9/5 3:30,-0.6680535,0.87
2022/9/5 3:59,,1.924
2022/9/5 7:30,,0.846
2022/9/5 7:59,-12.467385,2.28812
2022/9/5 9:30,-19.7187,2.39056
2022/9/5 9:59,-18.2208,13.26918
2022/9/5 11:30,-1.0728255,7.67598
2022/9/5 11:59,-6.78399,5.8001
2022/9/5 12:30,-2.64654,0.628
2022/9/5 14:30,,2.35144
2022/9/5 14:59,,0.804
2022/9/5 15:30,,1.278
2022/9/5 15:59,,0.822
2022/9/5 16:30,,0.274
2022/9/5 16:59,,0.754
2022/9/5 17:30,,0.0934
2022/9/5 18:59,,0.25
2022/9/5 19:30,,0.1476
2022/9/5 20:30,,0.24
2022/9/5 21:59,,0.294
