Sonic Temperature,Shortwave Radiation,Carbon Dioxide Flux
30.301,774.0466667,16.4885
32,706.4633333,16.3759
31.681,605.9733333,16.3643
24.188,0.2162,16.3274
31.4,426.4666667,15.3756
21.961,23.76166667,15.2225
29.89,2.620033333,14.4512
30.003,967.8933333,14.443
30.408,824.8966667,14.0747
28.753,353.1233333,13.237
30.299,531.3666667,13.1458
29.931,654.6466667,13.0565
30.379,516.8266667,12.9917
26.589,7.3774,12.8856
31.466,447.26,12.8685
31.828,935.96,12.741
25.532,0.0039,12.6213
31.261,359.3433333,12.475
29.746,440.9266667,12.1472
32.157,0.000466667,12.0383
31.062,230.8496667,11.9895
29.554,565.2866667,11.8934
30.687,763.3666667,11.4609
32.798,854.1566667,11.3877
30.216,392.8933333,11.3673
32.69,731.6366667,11.3368
28.679,705.2666667,11.2425
29.87,547.3733333,11.2215
30.767,620.1866667,11.1846
30.941,379.8166667,11.1623
27.617,427.9066667,11.1188
24.152,78.95133333,11.0679
31.401,333.14,10.9593
31.599,866.7,10.9546
28.367,169.49,10.8966
30.407,427.3133333,10.8313
30.864,616.9866667,10.6567
31.795,541.78,10.4284
24.644,15.16966667,10.3469
29.96,779.4666667,10.3374
29.711,623.45,10.1108
25.628,73.41233333,10.0981
30.826,976.3233333,10.0457
25.102,0.000233333,9.97988
29.141,434.8633333,9.95511
31.541,883.04,9.94765
32.069,691.3833333,9.89099
30.486,813.8566667,9.88659
29.479,314.4966667,9.88532
29.504,384.8633333,9.82595
27.651,50.22,9.74718
31.07,540.8233333,9.6944
29.96,697.1233333,9.55605
27.908,0.000233333,9.49596
32.245,616.54,9.46669
31.603,615.6366667,9.34079
22.063,2.895,9.33402
30.586,574.3433333,9.26695
30.673,578.67,9.22374
29.614,715.4333333,9.20947
29.541,422.73,9.19867
30.67,754.7,9.0435
32.934,987.2266667,8.90167
32.799,889.5233333,8.86266
31.234,599.47,8.81991
31.758,725.9966667,8.68642
28.96,280.9633333,8.47647
30.645,272.8433333,8.40373
26.925,142.29,8.31159
29.856,791.2233333,8.19859
24.794,8.909066667,8.17483
29.353,596.1966667,8.13743
30.686,372.5333333,8.13057
31.835,358.9766667,8.09913
31.65,773.4333333,8.06201
29.883,685.5333333,7.99434
29.179,394.58,7.85265
28.242,427.2733333,7.83626
30.365,273.4966667,7.82609
31.281,864.0866667,7.82226
31.622,481.7766667,7.79915
30.425,405.3,7.7048
30.164,724.03,7.64661
26.489,7.958233333,7.63861
27.834,340.07,7.51527
28.82,169.5133333,7.49484
24.604,0.000233333,7.4883
28.645,256.4566667,7.46644
32.206,919,7.38373
28.927,384.27,7.31377
31.764,815.88,7.31046
29.351,583.8266667,7.26912
22.326,18.59233333,7.26085
31.994,911.7,7.25156
28.733,526.42,7.2457
27.81,365.7233333,7.22928
30.775,376.3066667,7.19228
31.562,777.7766667,7.10561
31.389,600.49,7.06129
29.477,550.8733333,7.05609
28.053,0.000233333,7.03454
29.002,381.8566667,6.99421
23.049,0.007366667,6.98916
24.567,0.589066667,6.98494
30.822,482.6366667,6.84201
30.181,645.3533333,6.83916
30.447,665.9166667,6.78438
23.983,0.272933333,6.69958
29.108,354.3766667,6.69716
29.741,498.9,6.68606
30.36,548.5433333,6.68468
31.265,623.5466667,6.67783
28.704,317.2366667,6.65677
30.507,306.9066667,6.64899
30.516,295.07,6.62944
28.287,467.12,6.60135
26.351,2.233566667,6.59152
27.616,301.04,6.59101
30.087,829.8366667,6.55933
30.767,570.6233333,6.49652
29.526,604.3033333,6.45539
33.21,824.3233333,6.36844
31.015,298.2366667,6.35378
28.602,327.1033333,6.32674
27.356,332.66,6.2633
31.184,437.1033333,6.24768
29.034,161.5633333,6.18413
30.823,586.93,6.16684
29.595,618.1166667,6.13668
31.44,391.7733333,6.097
31.662,737.1533333,6.07795
29.85,455.06,6.06145
33.206,86.77933333,6.02423
31.859,678.3766667,5.98272
30.771,302.4433333,5.93679
30.946,336.59,5.9336
24.414,0.820166667,5.93218
28.85,398.8966667,5.90395
26.491,125.026,5.90059
28.997,151.72,5.90023
29.781,528.7866667,5.88083
30.655,488.3133333,5.87407
29.452,243.35,5.86754
29.144,333.4833333,5.8135
26.376,37.261,5.76874
31.146,163.3533333,5.74379
32.08,470.0633333,5.72918
28.972,579.28,5.70448
31.316,711.08,5.69904
32.419,925.9,5.67188
32.053,867.8433333,5.66777
32.631,908.9,5.6589
29.687,631.7033333,5.64313
24.693,0.216933333,5.59243
27.699,204.59,5.57918
24.318,0.214466667,5.569
29.748,481.0466667,5.54482
30.2,437.09,5.53914
30.085,342.55,5.53653
27.965,550.2633333,5.50075
32.489,972.1333333,5.49576
30.756,850.73,5.47847
27.842,508.51,5.4709
31.875,821.3933333,5.46705
30.966,396.8233333,5.45309
31.264,299,5.45178
27.433,325.8433333,5.44466
25.67,0.053133333,5.38949
26.89,309.2466667,5.3702
28.743,437.7066667,5.36055
31.838,907.9333333,5.34268
29,293.33,5.33935
30.764,213.3666667,5.33802
29.101,234.84,5.27816
30.818,319.3766667,5.25788
31.537,704.4466667,5.25343
31.372,806.2966667,5.22504
23.338,93.08633333,5.22146
29.826,224.3866667,5.12427
27.649,425.0966667,5.11087
28.03,535.2066667,5.10739
28.36,342.8433333,5.10351
30.133,327.65,5.02238
31.315,482.54,5.00112
32.947,888.09,5.00097
29.083,363.6766667,4.9922
28.648,223.8333333,4.95623
22.938,25.77333333,4.95561
30.771,310.3033333,4.8441
31.394,846.5533333,4.81563
29.109,90.706,4.78001
24.792,0.014066667,4.77466
29.412,818.8066667,4.75031
28.982,130.49,4.73853
31.584,912.1666667,4.718
29.584,556.4,4.68949
28.125,365.1366667,4.68574
30.472,580.1666667,4.66977
29.307,97.0654,4.65693
30.004,662.34,4.61744
30.301,308.1133333,4.61554
31.384,633.3933333,4.59866
24.649,0.0062,4.58883
29.935,221.9866667,4.5287
32.836,618.4033333,4.52266
28.073,249.2466667,4.51645
29.736,455.99,4.49969
29.429,92.318,4.49896
29.79,302.77,4.47504
32.162,775.03,4.47271
22.19,1.2481,4.46089
29.063,255.4533333,4.42746
25.045,30.67266667,4.42389
33.209,967.1866667,4.41143
26.595,231.9833333,4.40495
30.834,310.2866667,4.3947
27.423,28.0317,4.3813
24.981,31.24433333,4.36875
30.14,338.4166667,4.36555
29.601,359.45,4.33306
29.249,278.65,4.29366
30.716,665.2366667,4.26691
28.411,434.7433333,4.22262
29.784,537.3933333,4.12801
28.892,357.1,4.12672
25.104,0.3886,4.12368
30.162,556.0266667,4.1163
30.024,198.94,4.10114
28.714,371.3433333,4.08636
25.376,0.001966667,4.08211
32.114,873.7,3.9926
32.576,794.8033333,3.97504
28.34,167.1233333,3.95252
30.866,418.88,3.95097
25.971,76.04566667,3.94866
30.041,442.1066667,3.86805
26.992,81.35866667,3.84902
31.239,544.4566667,3.84895
24.669,0.035566667,3.84754
28.816,280.06,3.84732
22.777,3.354,3.82224
30.812,246.48,3.80193
30.848,548.7166667,3.79046
29.244,428.8966667,3.78601
24.772,0.054166667,3.78378
30.535,396.4233333,3.77993
26.646,167.6273333,3.77013
31.621,904.5333333,3.58021
29.841,567.9833333,3.56566
27.984,170.2733333,3.54139
25.72,0.0173,3.53061
30.022,465.51,3.52289
29.694,382.6566667,3.51317
32.688,973.9666667,3.50986
29.714,333.6366667,3.47566
31.037,295.14,3.4691
29.698,590.5366667,3.46252
29.301,518.2133333,3.45724
28.908,172.3666667,3.43818
29.632,355.3466667,3.41801
22.892,0.0162,3.40094
29.836,413.58,3.37843
24.28,0.054133333,3.34651
25.179,5.204433333,3.34419
24.669,0.1065,3.29713
29.461,0.000466667,3.29583
30.561,494.7866667,3.28851
28.971,450.15,3.28675
29.607,554.04,3.28373
26.967,34.69933333,3.2622
25.402,0.0005,3.26193
26.579,257.55,3.20819
30.439,316.66,3.16908
30.958,448.1766667,3.15511
29.13,236.7933333,3.14345
29.748,317.18,3.12207
30.015,593.76,3.10861
27.987,26.81146667,3.07957
25.312,27.42533333,3.0684
28.995,298.87,3.06165
24.425,143.64,3.0332
31.137,840.1766667,3.02172
28.283,621.7266667,3.01863
31.624,869.1033333,3.01786
